Former firm,New firm,Number of Moves,Names,New job titles,Teams (IMP defined),Seniorities (IMP defined)
Pinegrove Venture Partners,"Apollo Global Management, Inc.",1,"Adam D. Nahari","Operating Partner, Head of Data, Digital, & AI","Tech","Partner"
Natixis CIB Americas,"Apollo Global Management, Inc.",1,"Akshay Doshi","Head of Futures, Clearing, Collateral Management & Client Services","Ops","Senior Managing Director"
GTIS Partners,Blackstone,1,"Amit Rind","Managing Director","Investment team","Managing Director"
Värde Partners,DWS Group,1,"Barbara Richter","Head of Asset Based Finance","Investment team","Senior Managing Director"
The Living Company,DWS Group,1,"Ben Taylor","Head of Real Estate, Australia","Investment team","Senior Managing Director"
NW Technology GmbH,"Apollo Global Management, Inc.",1,"Christoph Kaup","Advisor","Strategy","Advisor"
Wellington Management Company,HarbourVest Partners,1,"Colin Mazzola","Chief Technology Officer","Tech","C-level"
HDFC Bank,Bain Capital,1,"Harvansh Grover","Managing Director","Strategy","Managing Director"
WTW,IFM Investors,1,"Jeff Chee","Global Head of Investment Research","Investment team","Senior Managing Director"
Lippincott,Blue Owl Capital,1,"Jennifer Rosenbloom","Managing Director, Head of Corporate Marketing","Marketing","Managing Director"
Capstone Investment Advisors,The Carlyle Group,1,"Michael Korby","Head of Data Transformation","Tech","Managing Director"
Goldman Sachs,Ares Management Corporation,1,"Michael Pieck","Managing Director - Head of Client Platforms","Tech","Managing Director"
Nobian,The Carlyle Group,1,"Michael Pontzen","Senior Financial Advisor","Strategy","Advisor"
Advent International,"Apollo Global Management, Inc.",1,"Michael Solomon","Managing Director, Hybrid Value","Portfolio operations","Managing Director"
Neuberger Berman,KKR,1,"Nicholas J. Lurvey","Managing Director, Head of Investment Implementation","Ops","Managing Director"
UBS O’Connor,KKR,1,"Peter Meyer","Managing Director","Investment team","Managing Director"
GE Vernova,EQT Group,1,"Prakash Chandra","Advisor","Strategy","Advisor"
CoreAI Advisory LLC,"Apollo Global Management, Inc.",1,"Rajesh T. Krishnamachari","Global Head of Quantitative Analytics","Quant/data science","Senior Managing Director"
Goldman Sachs Asset Management,KKR,1,"Rob Magnuson","Managing Director","Portfolio operations","Managing Director"
Benchling,EQT Group,1,"Shawna Wolverton","Operating Partner - CPO - Early Stage Tech","Ops","C-level"
Novartis,TPG,1,"Shervin Korangy","Senior Advisor","Strategy","Advisor"
Amazon Web Services (AWS),KKR,1,"Stefan Natu","Global Head of AI Product Management","Tech","Senior Managing Director"
PIMCO,HarbourVest Partners,1,"Stephen Chu","Head of Marketing, Asia Pacific","Marketing","Senior Managing Director"
