Country,City,Moves
Australia,Sydney,5
Australia,Melbourne,2
Denmark,Billund,1
Germany,Frankfurt,2
Germany,Hesse,1
Germany,Munich,1
Germany,Stuttgart,1
India,Mumbai,2
India,Bengaluru,1
Japan,Tokyo,2
Luxembourg,Luxembourg,1
SAR,Hong Kong,4
Singapore,Singapore,6
South Korea,Seoul,1
Sweden,Stockholm,2
Switzerland,Basel,1
Switzerland,Zurich,1
UK,London,27
USA,New York,40
USA,Boston,5
USA,Los Angeles,5
USA,Chicago,2
USA,Denver,1
USA,Detroit,1
USA,Houston,1
USA,Miami,1
USA,Philadelphia,1
USA,Raleigh,1
USA,San Francisco,1
USA,Virginia Beach,1
