New firm,Country,Continent,Moves,Cities
"Apollo Global Management, Inc.",Australia,Oceania,1,"Sydney"
"Apollo Global Management, Inc.",India,Asia,1,"Chennai"
"Apollo Global Management, Inc.",SAR,Unknown,1,"Hong Kong"
"Apollo Global Management, Inc.",Singapore,Asia,1,"Singapore"
"Apollo Global Management, Inc.",Switzerland,Europe,1,"Zurich"
"Apollo Global Management, Inc.",UK,Europe,4,"London"
"Apollo Global Management, Inc.",USA,Americas,9,"New York; Boston; New Jersey; Hawaii; New Yotk; Cleveland"
Ares Management Corporation,Australia,Oceania,3,"Sydney"
Ares Management Corporation,SAR,Unknown,1,"Hong Kong"
Ares Management Corporation,UK,Europe,5,"London"
Ares Management Corporation,USA,Americas,7,"Los Angeles; New York"
Bain Capital,Germany,Europe,1,"Frankfurt"
Bain Capital,Singapore,Asia,1,"Singapore"
Bain Capital,Switzerland,Europe,1,"Zurich"
Bain Capital,USA,Americas,1,"New York"
Barings,Singapore,Asia,1,"Singapore"
Barings,UK,Europe,1,"London"
Blackstone,,Unknown,2,
Blackstone,Germany,Europe,1,"Munich"
Blackstone,Japan,Unknown,1,"Tokyo"
Blackstone,New Zealand,Unknown,1,"Auckland"
Blackstone,UK,Europe,3,"London"
Blackstone,USA,Americas,4,"New York; Raleigh; Detroit"
Blue Owl Capital,Australia,Oceania,2,"Sydney"
Blue Owl Capital,Germany,Europe,1,"Hesse"
Blue Owl Capital,SAR,Unknown,1,"Hong Kong"
Blue Owl Capital,UK,Europe,3,"London"
Blue Owl Capital,USA,Americas,2,"Boston; New York"
Brookfield,Germany,Europe,1,"Stuttgart"
Brookfield,UK,Europe,2,"London"
DWS Group,Australia,Oceania,1,"Melbourne"
DWS Group,Canda,Unknown,1,"Montreal"
DWS Group,UK,Europe,1,"London"
DWS Group,USA,Americas,3,"New York"
EQT Group,Spain,Unknown,1,"Madrid"
EQT Group,USA,Americas,5,"Los Angeles; Atlanta; New York; Stamford"
HarbourVest Partners,SAR,Unknown,1,"Hong Kong"
HarbourVest Partners,UK,Europe,1,"London"
HarbourVest Partners,USA,Americas,2,"Raleigh"
ICG,Singapore,Asia,1,"Singapore"
ICG,UK,Europe,2,"London; Isle of Man"
ICG,USA,Americas,2,"New York"
IFM Investors,UK,Europe,2,"London"
IFM Investors,USA,Americas,1,"San Francisco"
KKR,Australia,Oceania,1,"Melbourne"
KKR,Germany,Europe,1,"Frankfurt"
KKR,Luxembourg,Europe,1,"Luxembourg"
KKR,Sweden,Europe,1,"Stockholm"
KKR,Switzerland,Europe,2,"Geneva; Basel"
KKR,UK,Europe,1,"London"
KKR,USA,Americas,5,"Boston; New York; Melbourne, Florida; Los Angeles"
"Oaktree Capital Management, L.P.",UK,Europe,1,"London"
"Oaktree Capital Management, L.P.",USA,Americas,3,"New York; San Diego"
The Carlyle Group,Germany,Europe,1,"Frankfurt"
The Carlyle Group,UK,Europe,3,"London; Merseyside"
The Carlyle Group,USA,Americas,3,"New York; Ohio; Salisbury"
TPG,Australia,Oceania,1,"Sydney"
TPG,Singapore,Asia,1,"Singapore"
TPG,South Korea,Unknown,1,"Seoul"
TPG,UK,Europe,3,"London"
TPG,USA,Americas,4,"New York; Los Angeles"
Warburg Pincus LLC,Brazil,Unknown,1,"São Paulo"
Warburg Pincus LLC,UK,Europe,2,"London"
Warburg Pincus LLC,USA,Americas,2,"New York; Washington DC"
